[2021-03-05T13:57:49.116058+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:07:07.850299+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:09:22.625504+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `nama_anggota` LIKE '1%' LIMIT 10 [] []
[2021-03-05T14:13:28.511554+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `nama_anggota` LIKE '1%' LIMIT 10 [] []
[2021-03-05T14:13:37.919536+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:13:38.064264+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (198311) [] []
[2021-03-05T14:13:42.249541+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `nama_anggota` LIKE '1%' LIMIT 10 [] []
[2021-03-05T14:13:47.471133+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `nama_anggota` LIKE '1%' LIMIT 10 [] []
[2021-03-05T14:13:48.565985+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `nama_anggota` LIKE '2%' LIMIT 10 [] []
[2021-03-05T14:14:45.827794+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `nama_anggota` LIKE '2%' LIMIT 10 [] []
[2021-03-05T14:14:57.013772+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `nama_anggota` LIKE '1%' LIMIT 10 [] []
[2021-03-05T14:15:09.091585+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:15:09.197540+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (117187) [] []
[2021-03-05T14:15:15.495880+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `nama_anggota` LIKE '1%' LIMIT 10 [] []
[2021-03-05T14:15:40.787316+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:15:40.897164+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (141703) [] []
[2021-03-05T14:15:46.077254+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `nama_anggota` LIKE '2%' LIMIT 10 [] []
[2021-03-05T14:18:03.151616+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:18:03.243271+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (131061) [] []
[2021-03-05T14:27:26.278125+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:27:26.408704+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (122284) [] []
[2021-03-05T14:30:59.422447+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:30:59.512242+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (164019) [] []
[2021-03-05T14:37:04.204423+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:37:04.309975+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-05T14:40:55.565805+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-05T14:40:55.664817+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T15:22:25.571979+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
[2021-03-05T15:22:45.856344+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
[2021-03-05T15:23:20.142249+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T15:23:20.221867+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-05T15:23:58.750475+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
[2021-03-05T15:24:41.343524+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
[2021-03-05T16:49:32.058342+00:00] log.DEBUG: SELECT `id_level` AS `lf`, `level_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `level` [] []
[2021-03-05T17:39:21.810973+00:00] log.DEBUG: SELECT `id_level` AS `lf`, `level_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `level` [] []
[2021-03-05T18:00:37.676694+00:00] log.DEBUG: SELECT `id_level` AS `lf`, `level_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `level` [] []
[2021-03-05T18:06:06.549318+00:00] log.DEBUG: SELECT `id_level` AS `lf`, `level_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `level` [] []
[2021-03-05T18:06:59.091966+00:00] log.DEBUG: SELECT `id_level` AS `lf`, `level_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `level` [] []
[2021-03-05T18:48:06.990500+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-05T18:48:07.140389+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-05T18:49:17.286060+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-05T18:49:17.401399+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-05T19:09:35.178080+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-05T19:09:35.310822+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-05T19:12:30.571679+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-05T19:12:30.703300+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` WHERE `id_penerbit` IN (138785) [] []
[2021-03-05T19:14:43.900104+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` WHERE `id_pengarang` IN (170816) [] []
[2021-03-05T19:14:44.075166+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` WHERE `id_penerbit` IN (103120) [] []
[2021-03-05T19:15:11.154030+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` WHERE `id_pengarang` IN (160349) [] []
[2021-03-05T19:15:29.508545+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` WHERE `id_pengarang` IN (140156) [] []
[2021-03-05T19:15:29.615230+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` WHERE `id_penerbit` IN (153816) [] []
[2021-03-05T19:20:24.369643+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` WHERE `id_penerbit` IN (118200) [] []
[2021-03-05T19:20:24.515660+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-05T19:22:05.664123+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-05T19:22:05.781901+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-05T19:42:16.286256+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-05T19:42:16.421593+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
