[2021-03-06T13:24:03.178738+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-06T13:47:58.116465+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-06T13:47:58.193703+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-06T13:49:16.794604+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-06T13:49:16.865656+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-06T13:50:54.547396+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
[2021-03-06T13:52:20.667240+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
[2021-03-06T13:53:44.227934+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
[2021-03-06T15:15:16.873494+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T15:17:48.371098+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T15:21:13.349789+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T15:23:46.427342+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-06T15:23:46.543452+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T15:50:57.933101+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-06T15:50:58.064450+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T15:56:15.187438+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T15:59:08.035511+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T15:59:32.934146+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T16:01:08.171313+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-06T16:01:08.296617+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T16:25:20.800943+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-06T16:25:20.927476+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T16:26:18.796439+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-06T16:26:18.968450+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T16:27:41.694501+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-06T16:27:42.006292+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T16:29:16.315288+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-06T16:29:16.446274+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T16:30:48.502396+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-06T16:30:48.766842+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T16:32:10.655421+00:00] log.DEBUG: SELECT `id_pengarang` AS `lf`, `nama_pengarang` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `pengarang` [] []
[2021-03-06T16:32:10.903042+00:00] log.DEBUG: SELECT `id_penerbit` AS `lf`, `nama_penerbit` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `penerbit` [] []
[2021-03-06T16:49:01.719272+00:00] log.DEBUG: SELECT `id_level` AS `lf`, `level_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `level` [] []
